split,voxel_size,radius,tau_removed,tau_added,background_iou,removed_iou,added_iou,background_acc,removed_acc,added_acc,miou,oa
val,0.3,1,20.0,20.0,0.5591499874247069,0.05971585197787287,0.03054546176724404,0.5632508648157967,0.7912863930812086,0.6590596270710629,0.2164704337232746,0.5680596447027624
val,0.3,1,20.0,40.0,0.6402410419194482,0.05971585197787287,0.04163823557850697,0.6454276476758263,0.7912863930812086,0.5899210512646996,0.24719837649194268,0.6472434820518966
val,0.3,1,20.0,60.0,0.6575718906596224,0.05971585197787287,0.043354768425039915,0.6632290081201041,0.7912863930812086,0.5446618708772305,0.2535475036875117,0.6640697935707581
val,0.3,1,20.0,80.0,0.6670876465385497,0.05971585197787287,0.04610657728688209,0.6728672708044592,0.7912863930812086,0.5391692203812043,0.2576366919344349,0.6733852507153123
val,0.3,1,20.0,100.0,0.6729000260521543,0.05971585197787287,0.04811644064652259,0.6787448855512114,0.7912863930812086,0.537176024515625,0.2602441062255166,0.6790806451432134
val,0.3,1,20.0,150.0,0.6828060087542064,0.05971585197787287,0.050523259422913136,0.6888831516563014,0.7912863930812086,0.5178673453487431,0.26434837338499745,0.6887333752116794
val,0.3,1,20.0,200.0,0.688926064339193,0.05971585197787287,0.05319880116132437,0.6950750419220061,0.7912863930812086,0.5155949722120893,0.2672802391594634,0.6947314396923786
val,0.3,1,40.0,20.0,0.601184364971382,0.06727481035633369,0.03054546176724404,0.6063101396704064,0.7212525862834642,0.6590596270710629,0.23300154569831988,0.6087821106238376
val,0.3,1,200.0,200.0,0.7733957998457749,0.07994829864036826,0.05319880116132437,0.7821538459322596,0.650355627202809,0.5155949722120893,0.3021809665491558,0.777096079424656
val,0.3,1,300.0,300.0,0.7969555807292905,0.08499880100793179,0.060684500815770634,0.8061154098346484,0.646399512572801,0.5063951072559791,0.31421296085099765,0.8002376951069574
val,0.3,1,400.0,400.0,0.8162143840281593,0.0907279815759949,0.06869579657938703,0.8256318907554093,0.6447493685025304,0.504914818469816,0.32521272072784707,0.819177233384177
val,0.2,1,400.0,400.0,0.78012946232977,0.0954973067690424,0.0646843321329693,0.7865600405591132,0.7729486382079954,0.6052628161844514,0.31343703374392723,0.7843787229607276
val,0.3,1,400.0,400.0,0.8162143840281593,0.0907279815759949,0.06869579657938703,0.8256318907554093,0.6447493685025304,0.504914818469816,0.32521272072784707,0.819177233384177
val,0.3,1,500.0,500.0,0.8286019620990048,0.0957997441583445,0.0740526445940894,0.8381782102066803,0.6445124247385942,0.5035578870824998,0.3328181169504796,0.8313619269792557
val,0.3,1,600.0,600.0,0.841915454895264,0.10170870246137236,0.08122048483576365,0.8516576341261151,0.6443685660247757,0.5024866254609345,0.3416148807308,0.8444588335105966
val,0.3,1,800.0,800.0,0.9038622019602888,0.17299899316122178,0.1104760380967603,0.9143288104016261,0.6441316222608393,0.5020905832856891,0.3957790777394236,0.9054081485698782
val,0.3,1,1000.0,1000.0,0.9211578107403882,0.21164292902088702,0.12493712873608746,0.9318417488813291,0.6433911729985384,0.5015581987222445,0.4192459561657875,0.9224242155094825
val,0.3,1,1500.0,1500.0,0.9398985196968683,0.24682876294150102,0.16834380130599705,0.950820058181299,0.643171153789169,0.4999545525372344,0.45169036131478885,0.940862642572234
val,0.3,1,2000.0,2000.0,0.9464563246407839,0.2649320269207861,0.18899158673904684,0.9574555637533161,0.6430780687390512,0.4999545525372344,0.46679331276687225,0.947315167433066
val,0.2,0,1000000000.0,1000000000.0,0.6733029222524872,0.08243103907170833,0.05134373163163408,0.6760154991698412,0.935631687843476,0.7355606918401849,0.26902589765194324,0.6809558545816439
val,0.2,1,1000000000.0,1000000000.0,0.9300517984836636,0.24855240715567947,0.1784069628219657,0.9377599083387068,0.7713492678014253,0.6036721549887937,0.4523370561537696,0.9314005785263821
val,0.2,2,1000000000.0,1000000000.0,0.9748199159255576,0.37820095543072135,0.38232797034269445,0.9870194992692224,0.6096520734694656,0.4707188490105132,0.5784496138996579,0.9752019294673001
val,0.25,0,1000000000.0,1000000000.0,0.7113202651583953,0.09251261862942506,0.05385500379317223,0.7148895948805637,0.8753929670013126,0.7388199241676141,0.2858959625269975,0.7178049003269196
val,0.25,1,1000000000.0,1000000000.0,0.9542135413829748,0.27978631444278756,0.28067904678408284,0.963867821362741,0.6847420909440649,0.5716122162779455,0.5048929675366151,0.9550149366725424
val,0.25,2,1000000000.0,1000000000.0,0.9747822101256441,0.34846258620133985,0.36099809680100964,0.9886150020470391,0.5498957024324583,0.41131901521838077,0.5614142977093312,0.9751236877526563
val,0.3,0,1000000000.0,1000000000.0,0.6861995787466857,0.08479348243046947,0.047189578485566555,0.6901079187852713,0.8567082587594785,0.7063899132602252,0.2727275465542406,0.6930416428042274
val,0.3,1,1000000000.0,1000000000.0,0.9543081784712907,0.30791785290928547,0.20367522274076677,0.965413993542372,0.6429595968570829,0.4986885160753844,0.488633751373781,0.9550403634786442
val,0.3,2,1000000000.0,1000000000.0,0.9749027887949918,0.333911423795833,0.34303938212857515,0.9896971065263654,0.5173032414752915,0.37257180699109405,0.5506178649064667,0.9752186004861767
val,0.35,0,1000000000.0,1000000000.0,0.870844672556472,0.17900497771754556,0.11347486952487408,0.8755160718728806,0.8718599662354767,0.7130187503245784,0.3877748399329639,0.873702392333236
val,0.35,1,1000000000.0,1000000000.0,0.9682912460128451,0.3272189519277705,0.3428753180661418,0.9800484015985987,0.6258657967445355,0.47942528437123566,0.5461285053355858,0.9687837973386884
val,0.35,2,1000000000.0,1000000000.0,0.9743688825400181,0.31763872594463494,0.32388578462724776,0.9898442341352609,0.49144675323574244,0.34848465174256293,0.5386311310373003,0.9746737803818806
val,0.4,0,1000000000.0,1000000000.0,0.7879220479711391,0.09953154496228978,0.0777432564368507,0.7932369550274175,0.8338939592033259,0.646749857165075,0.32173228312342655,0.7923296081778207
val,0.4,1,1000000000.0,1000000000.0,0.9754043377062959,0.3653975681999441,0.3696930332382384,0.9887387246275984,0.5715506700007797,0.4249727315223325,0.5701649797148262,0.9757498316086994
val,0.4,2,1000000000.0,1000000000.0,0.972740289647248,0.2667571583778193,0.2884289848741156,0.9899278440980254,0.4124344702402689,0.3086402119150062,0.5093088109663944,0.973017185438887
val,0.5,0,1000000000.0,1000000000.0,0.9060760286637137,0.20188381365229507,0.14651379315522897,0.9128743859330732,0.7980562149079601,0.6334402430789595,0.4181578784904126,0.9079588144580035
val,0.5,1,1000000000.0,1000000000.0,0.9747003042552097,0.3323420861814625,0.3390872814682505,0.9895211007132766,0.5177898224190892,0.36909182984467553,0.5487098906349742,0.9750179178429769
val,0.5,2,1000000000.0,1000000000.0,0.9700873753796468,0.2269755231340849,0.13644197333884645,0.9900072771634252,0.3504525202777171,0.1454643432192291,0.4445016239508594,0.9703078646862424
